Date,Price,Open,High,Low,Vol.,Change %
5-Nov-19,9310.80,"9,396.10","9,452.70","9,193.90",653.42K,-0.91%
4-Nov-19,9396.40,"9,198.70","9,500.40","9,134.10",681.01K,2.15%
3-Nov-19,9198.30,"9,300.50","9,359.10","9,095.00",536.56K,-1.10%
2-Nov-19,9300.60,"9,230.30","9,356.70","9,201.20",570.74K,0.76%
1-Nov-19,9230.10,"9,153.10","9,270.40","9,057.20",689.65K,0.85%
31-Oct-19,9152.60,"9,157.90","9,378.90","8,959.60",798.93K,-0.06%
30-Oct-19,9157.90,"9,411.30","9,411.30","9,018.40",789.73K,-2.69%
29-Oct-19,9411.30,"9,206.50","9,531.30","9,125.30",918.48K,2.22%
28-Oct-19,9207.20,"9,530.10","9,866.90","9,202.50",1.04M,-3.38%
27-Oct-19,9529.60,"9,230.60","9,773.20","9,081.00",1.16M,3.24%
26-Oct-19,9230.60,"8,658.40","10,540.00","8,061.80",1.78M,6.61%
25-Oct-19,8658.30,"7,422.80","8,697.70","7,404.90",1.18M,16.65%
24-Oct-19,7422.70,"7,476.80","7,501.50","7,366.30",586.49K,-0.73%
23-Oct-19,7477.00,"8,031.00","8,055.00","7,329.20",892.08K,-6.90%
22-Oct-19,8031.40,"8,207.40","8,289.10","8,017.70",570.39K,-2.15%
21-Oct-19,8208.20,"8,224.10","8,315.30","8,155.70",489.40K,-0.18%
20-Oct-19,8223.40,"7,957.40","8,288.50","7,889.60",513.91K,3.34%
19-Oct-19,7957.30,"7,948.30","8,060.20","7,892.40",428.83K,0.11%
18-Oct-19,7948.50,"8,073.30","8,116.40","7,842.00",505.79K,-1.55%
17-Oct-19,8073.30,"8,000.40","8,118.20","7,944.40",444.95K,0.91%
16-Oct-19,8000.40,"8,167.10","8,185.90","7,929.80",538.92K,-2.04%
15-Oct-19,8167.20,"8,353.40","8,400.20","8,139.50",469.73K,-2.23%
14-Oct-19,8353.30,"8,281.30","8,374.30","8,222.20",505.02K,0.87%
13-Oct-19,8281.50,"8,304.30","8,450.20","8,190.60",419.87K,-0.28%
12-Oct-19,8304.40,"8,267.60","8,394.80","8,260.90",424.02K,0.44%
11-Oct-19,8267.80,"8,562.20","8,751.10","8,249.70",667.86K,-3.44%
10-Oct-19,8562.30,"8,566.80","8,638.50","8,438.70",511.46K,-0.05%
9-Oct-19,8566.70,"8,180.10","8,655.90","8,122.70",636.43K,4.69%
8-Oct-19,8182.90,"8,198.50","8,323.10","8,118.10",469.04K,-0.19%
7-Oct-19,8198.60,"7,882.60","8,293.50","7,797.00",604.74K,4.02%
6-Oct-19,7881.90,"8,127.30","8,145.50","7,834.90",448.80K,-3.02%
5-Oct-19,8127.30,"8,148.00","8,185.10","8,030.60",360.92K,-0.25%
4-Oct-19,8148.10,"8,227.60","8,233.60","8,041.40",416.92K,-0.96%
3-Oct-19,8226.90,"8,363.60","8,391.70","8,090.10",460.97K,-1.64%
2-Oct-19,8364.10,"8,302.70","8,374.00","8,167.70",405.86K,0.74%
1-Oct-19,8302.70,"8,285.00","8,486.20","8,187.90",533.95K,0.22%
30-Sep-19,8284.30,"8,048.90","8,318.50","7,749.00",600.26K,2.92%
29-Sep-19,8049.10,"8,208.00","8,226.80","7,922.10",418.48K,-1.94%
28-Sep-19,8208.50,"8,184.50","8,297.20","8,031.10",457.79K,0.29%
27-Sep-19,8184.90,"8,063.80","8,257.40","7,882.10",561.40K,1.50%
26-Sep-19,8063.80,"8,432.50","8,463.10","7,773.60",731.03K,-4.37%
25-Sep-19,8432.40,"8,512.30","8,729.80","8,245.10",696.11K,-0.96%
24-Sep-19,8513.90,"9,702.70","9,793.80","8,069.40",933.16K,-12.25%
23-Sep-19,9702.20,"10,031.30","10,048.80","9,656.30",431.10K,-3.28%
22-Sep-19,10031.60,"9,993.00","10,075.00","9,870.90",337.06K,0.39%
21-Sep-19,9993.00,"10,172.80","10,177.90","9,939.80",326.17K,-1.77%
20-Sep-19,10172.70,"10,251.50","10,279.50","10,088.60",362.07K,-0.76%
19-Sep-19,10250.50,"10,164.60","10,297.60","9,707.60",542.25K,0.84%
18-Sep-19,10164.70,"10,195.70","10,257.50","10,119.30",318.82K,-0.30%
17-Sep-19,10195.70,"10,254.60","10,273.60","10,153.50",321.64K,-0.58%
16-Sep-19,10255.50,"10,311.30","10,360.50","10,108.50",372.53K,-0.54%
15-Sep-19,10311.50,"10,337.30","10,360.40","10,272.00",255.79K,-0.25%
14-Sep-19,10337.30,"10,342.20","10,421.40","10,253.70",326.44K,-0.05%
13-Sep-19,10342.10,"10,415.20","10,441.40","10,174.10",365.52K,-0.70%
12-Sep-19,10415.10,"10,162.40","10,447.90","10,051.00",413.22K,2.49%
11-Sep-19,10162.50,"10,104.90","10,257.50","9,908.90",413.06K,0.57%
10-Sep-19,10105.40,"10,308.70","10,379.80","9,970.70",383.22K,-1.98%
9-Sep-19,10309.00,"10,402.10","10,478.00","10,095.70",473.76K,-0.90%
8-Sep-19,10402.80,"10,461.60","10,578.00","10,266.30",339.73K,-0.56%
7-Sep-19,10461.10,"10,306.90","10,556.40","10,302.30",393.57K,1.47%
6-Sep-19,10309.30,"10,566.70","10,896.20","10,227.40",643.02K,-2.44%
5-Sep-19,10566.90,"10,567.80","10,630.70","10,469.90",402.09K,-0.01%
4-Sep-19,10568.20,"10,611.60","10,783.60","10,388.60",504.45K,-0.42%
3-Sep-19,10612.30,"10,348.10","10,756.80","10,283.50",578.79K,2.55%
2-Sep-19,10348.80,"9,728.80","10,431.50","9,720.30",542.79K,6.37%
1-Sep-19,9729.30,"9,594.70","9,799.50","9,533.60",322.66K,1.41%
31-Aug-19,9594.40,"9,585.50","9,677.50","9,457.30",311.49K,0.09%
30-Aug-19,9585.40,"9,494.10","9,675.70","9,370.20",413.92K,0.99%
29-Aug-19,9491.00,"9,729.10","9,729.10","9,343.00",509.13K,-2.45%
28-Aug-19,9729.40,"10,184.70","10,271.30","9,629.60",580.29K,-4.47%
27-Aug-19,10184.80,"10,372.20","10,387.60","10,060.20",419.81K,-1.80%
26-Aug-19,10371.80,"10,136.00","10,568.20","10,136.00",568.77K,2.32%
25-Aug-19,10136.30,"10,132.10","10,307.00","9,935.20",422.53K,0.05%
24-Aug-19,10131.00,"10,389.40","10,415.90","9,917.50",463.85K,-2.48%
23-Aug-19,10388.70,"10,104.90","10,434.30","9,921.40",436.26K,2.81%
22-Aug-19,10105.00,"10,141.10","10,218.20","9,777.00",520.75K,-0.36%
21-Aug-19,10141.50,"10,753.30","10,797.80","9,908.00",717.65K,-5.68%
20-Aug-19,10752.60,"10,911.20","10,941.60","10,581.00",515.47K,-1.45%
19-Aug-19,10910.70,"10,312.80","10,923.90","10,267.80",519.01K,5.80%
18-Aug-19,10312.70,"10,219.30","10,494.90","10,086.70",441.11K,0.93%
17-Aug-19,10218.10,"10,335.50","10,460.70","10,016.30",497.77K,-1.14%
16-Aug-19,10335.60,"10,300.90","10,734.00","9,788.60",798.67K,0.31%
15-Aug-19,10303.40,"10,053.30","10,448.20","9,580.10",930.05K,2.53%
14-Aug-19,10049.40,"10,894.20","10,894.50","9,965.50",745.59K,-7.74%
13-Aug-19,10892.90,"11,395.00","11,445.60","10,793.20",540.78K,-4.40%
12-Aug-19,11394.20,"11,505.10","11,508.60","11,267.30",391.08K,-1.07%
11-Aug-19,11517.20,"11,314.60","11,728.40","11,146.10",435.83K,1.79%
10-Aug-19,11314.50,"12,090.50","12,185.00","11,281.60",570.74K,-6.41%
9-Aug-19,12089.80,"12,190.00","12,225.30","11,885.00",558.72K,-0.84%
8-Aug-19,12191.60,"12,015.90","12,236.60","11,727.00",592.15K,1.48%
7-Aug-19,12013.90,"11,481.00","12,114.50","11,406.40",702.85K,4.64%
6-Aug-19,11480.90,"11,817.60","12,291.90","11,237.00",807.58K,-2.84%
5-Aug-19,11816.80,"10,934.80","11,922.30","10,934.80",769.63K,8.07%
4-Aug-19,10934.60,"10,816.10","11,017.70","10,568.80",585.71K,1.10%
3-Aug-19,10815.70,"10,519.90","10,893.60","10,504.50",508.75K,2.81%
2-Aug-19,10520.10,"10,380.50","10,664.80","10,330.50",578.29K,1.35%
1-Aug-19,10380.00,"10,081.90","10,459.00","9,890.60",608.37K,2.96%
31-Jul-19,10082.00,"9,580.30","10,100.00","9,562.40",589.84K,5.23%
30-Jul-19,9580.70,"9,580.00","9,703.00","9,483.00",511.51K,0.00%
29-Jul-19,9580.90,"9,728.50","9,835.40","9,502.50",510.90K,-1.51%
28-Jul-19,9727.80,"9,491.10","9,798.50","9,401.10",518.59K,2.48%
27-Jul-19,9492.10,"9,830.40","10,232.30","9,389.10",661.89K,-3.45%
26-Jul-19,9831.00,"9,945.20","10,436.10","9,724.20",493.75K,-1.15%
25-Jul-19,9945.30,"9,804.70","10,203.50","9,776.60",545.85K,1.44%
24-Jul-19,9804.30,"9,887.20","9,945.30","9,584.00",639.54K,-0.85%
23-Jul-19,9888.70,"10,412.80","10,414.70","9,865.40",663.38K,-5.03%
22-Jul-19,10412.50,"10,715.10","10,806.30","10,196.50",591.27K,-2.82%
21-Jul-19,10714.40,"10,827.00","10,883.80","10,442.50",562.17K,-1.04%
20-Jul-19,10826.70,"10,571.90","11,155.60","10,462.00",668.94K,2.41%
19-Jul-19,10571.50,"10,651.60","10,758.40","10,160.70",727.79K,-0.75%
18-Jul-19,10651.40,"9,723.10","10,787.10","9,390.00",974.49K,9.55%
17-Jul-19,9723.20,"9,425.10","9,983.60","9,082.60",1.03M,3.17%
16-Jul-19,9424.80,"10,844.00","11,019.50","9,375.30",1.05M,-13.10%
15-Jul-19,10845.90,"10,199.90","11,064.70","9,885.40",956.52K,6.33%
14-Jul-19,10200.10,"11,364.30","11,448.70","10,128.90",840.76K,-10.25%
13-Jul-19,11364.90,"11,762.80","11,798.40","10,839.40",747.71K,-3.38%
12-Jul-19,11762.10,"11,343.70","11,881.40","11,109.80",738.17K,3.70%
11-Jul-19,11342.30,"12,111.60","12,111.60","11,029.00",943.13K,-6.34%
10-Jul-19,12110.60,"12,542.80","13,134.40","11,594.90",1.11M,-3.44%
9-Jul-19,12541.50,"12,250.60","12,772.90","12,111.20",847.84K,2.36%
8-Jul-19,12252.60,"11,415.80","12,332.30","11,304.80",695.60K,7.33%
7-Jul-19,11415.90,"11,267.90","11,524.60","11,108.10",601.93K,1.31%
6-Jul-19,11268.00,"10,969.80","11,650.20","10,967.90",688.96K,2.71%
5-Jul-19,10970.20,"11,159.70","11,381.80","10,810.30",772.67K,-1.73%
4-Jul-19,11163.10,"11,899.30","11,948.00","11,087.10",840.34K,-6.20%
3-Jul-19,11900.80,"10,835.90","11,931.80","10,835.90",998.73K,9.83%
2-Jul-19,10835.90,"10,615.50","10,923.50","9,728.50",1.12M,2.07%
1-Jul-19,10616.60,"10,821.40","11,254.50","10,041.60",1.04M,-1.87%
30-Jun-19,10818.60,"11,906.00","12,179.30","10,765.40",880.77K,-9.14%
29-Jun-19,11906.50,"12,408.00","12,422.90","11,490.80",834.62K,-4.05%
28-Jun-19,12409.10,"11,288.40","12,461.80","10,970.50",1.09M,9.93%
27-Jun-19,11287.80,"13,062.40","13,422.00","10,493.50",1.59M,-13.59%
26-Jun-19,13063.80,"11,811.60","13,929.80","11,747.30",1.48M,10.62%
25-Jun-19,11809.90,"11,046.60","11,833.90","11,033.70",781.09K,6.91%
24-Jun-19,11046.40,"10,897.30","11,114.40","10,622.60",566.96K,1.37%
23-Jun-19,10897.10,"10,721.50","11,361.30","10,557.80",683.79K,1.64%
22-Jun-19,10721.70,"10,178.10","11,160.50","10,031.30",1.09M,5.33%
21-Jun-19,10179.30,"9,517.70","10,184.30","9,517.40",769.12K,6.96%
20-Jun-19,9517.00,"9,255.00","9,583.90","9,188.40",693.62K,2.83%
19-Jun-19,9255.40,"9,080.70","9,295.10","9,044.00",587.57K,1.93%
18-Jun-19,9080.60,"9,318.90","9,336.10","8,962.70",723.17K,-2.56%
17-Jun-19,9318.80,"8,961.00","9,438.10","8,959.80",738.80K,3.98%
16-Jun-19,8962.50,"8,812.20","9,332.00","8,771.10",849.77K,1.70%
15-Jun-19,8812.50,"8,655.80","8,856.70","8,582.30",608.69K,1.81%
14-Jun-19,8656.10,"8,218.60","8,685.30","8,153.20",643.17K,5.32%
13-Jun-19,8219.00,"8,132.40","8,306.10","8,028.60",574.21K,1.06%
12-Jun-19,8133.10,"7,888.00","8,198.10","7,805.80",607.89K,3.11%
11-Jun-19,7888.00,"7,987.80","8,010.40","7,714.50",579.00K,-1.25%
10-Jun-19,7987.80,"7,635.00","8,012.80","7,523.60",641.38K,4.62%
9-Jun-19,7635.00,"7,901.60","7,937.50","7,516.90",554.48K,-3.37%
8-Jun-19,7901.40,"7,985.30","8,044.40","7,770.50",485.81K,-1.05%
7-Jun-19,7985.20,"7,785.80","8,099.40","7,749.40",588.87K,2.57%
6-Jun-19,7784.90,"7,779.60","7,861.40","7,480.40",651.82K,0.08%
5-Jun-19,7779.10,"7,685.60","7,885.00","7,590.40",762.94K,1.22%
4-Jun-19,7685.50,"8,118.10","8,118.10","7,494.00",966.95K,-5.41%
3-Jun-19,8124.80,"8,728.60","8,734.90","8,102.70",739.45K,-6.92%
2-Jun-19,8728.60,"8,545.80","8,807.70","8,534.80",614.54K,2.14%
1-Jun-19,8545.70,"8,556.90","8,615.80","8,454.00",686.75K,-0.15%
31-May-19,8558.30,"8,271.40","8,578.80","8,135.00",858.41K,3.46%
30-May-19,8271.90,"8,647.80","9,045.90","8,054.70",1.04M,-4.35%
29-May-19,8647.80,"8,715.60","8,747.20","8,435.30",15.43M,-0.79%
28-May-19,8716.30,"8,759.40","8,794.10","8,568.80",763.20K,-0.50%
27-May-19,8760.10,"8,628.90","8,902.80","8,607.30",907.96K,1.51%
26-May-19,8630.20,"8,029.60","8,718.60","7,866.50",872.12K,7.51%
25-May-19,8027.40,"7,971.40","8,090.10","7,919.10",691.27K,0.72%
24-May-19,7970.10,"7,852.80","8,124.10","7,775.40",868.47K,1.50%
23-May-19,7852.10,"7,637.20","7,939.10","7,486.80",815.14K,2.83%
22-May-19,7635.70,"7,928.70","7,999.00","7,545.90",821.40K,-3.72%
21-May-19,7930.30,"7,965.00","8,056.80","7,813.20",804.88K,-0.44%
20-May-19,7965.30,"8,156.40","8,156.40","7,604.00",958.81K,-2.35%
19-May-19,8157.20,"7,261.90","8,253.40","7,252.30",1.08M,12.32%
18-May-19,7262.60,"7,359.90","7,458.50","7,189.40",865.53K,-1.32%
17-May-19,7359.50,"7,871.90","7,924.00","6,998.60",1.43M,-6.51%
16-May-19,7871.80,"8,164.80","8,293.30","7,720.40",1.18M,-3.59%
15-May-19,8164.60,"7,994.80","8,225.30","7,856.50",1.13M,2.13%
14-May-19,7994.60,"7,806.40","8,323.90","7,674.00",1.33M,2.42%
13-May-19,7806.00,"6,984.70","8,058.30","6,893.10",1.20M,11.76%
12-May-19,6984.80,"7,190.00","7,518.90","6,802.60",1.35M,-2.86%
11-May-19,7190.30,"6,386.60","7,373.80","6,386.50",1.31M,12.59%
10-May-19,6386.00,"6,194.30","6,466.60","6,157.80",907.94K,3.14%
9-May-19,6191.50,"5,990.50","6,206.00","5,990.00",799.96K,3.36%
8-May-19,5990.30,"5,849.40","6,011.30","5,799.10",757.13K,2.41%
7-May-19,5849.50,"5,745.50","6,019.80","5,745.50",955.88K,1.82%
6-May-19,5745.10,"5,775.10","5,801.40","5,630.50",755.39K,-0.52%
5-May-19,5774.90,"5,830.80","5,838.20","5,708.20",709.02K,-0.96%
4-May-19,5830.90,"5,768.00","5,899.20","5,605.00",920.61K,1.11%
3-May-19,5766.80,"5,493.60","5,844.20","5,478.70",1.04M,4.97%
2-May-19,5493.80,"5,384.60","5,530.80","5,370.00",722.23K,2.04%
1-May-19,5384.20,"5,321.10","5,396.30","5,319.50",623.64K,1.19%
30-Apr-19,5320.80,"5,235.40","5,336.60","5,195.90",697.42K,1.64%
29-Apr-19,5235.00,"5,302.40","5,322.90","5,188.90",775.82K,-1.27%
28-Apr-19,5302.30,"5,265.70","5,332.50","5,234.40",681.41K,0.69%
27-Apr-19,5265.90,"5,298.20","5,318.10","5,225.40",833.13K,-0.61%
26-Apr-19,5298.30,"5,209.20","5,469.30","5,159.30",1.03M,1.71%
25-Apr-19,5209.10,"5,415.60","5,528.20","5,137.40",955.36K,-3.81%
24-Apr-19,5415.60,"5,511.20","5,589.60","5,346.80",994.04K,-1.74%
23-Apr-19,5511.60,"5,346.50","5,594.40","5,291.40",900.00K,3.08%
22-Apr-19,5346.70,"5,248.20","5,370.20","5,170.20",920.77K,1.97%
21-Apr-19,5243.50,"5,290.20","5,308.20","5,189.80",811.41K,-0.88%
20-Apr-19,5290.20,"5,241.00","5,327.00","5,240.20",782.32K,0.94%
19-Apr-19,5241.00,"5,264.80","5,282.40","5,192.10",787.09K,-0.45%
18-Apr-19,5264.70,"5,208.30","5,293.10","5,205.00",727.97K,1.08%
17-Apr-19,5208.30,"5,182.10","5,230.90","5,165.50",806.52K,0.53%
16-Apr-19,5180.90,"5,031.40","5,198.40","5,014.40",631.05K,2.95%
15-Apr-19,5032.30,"5,135.10","5,168.00","4,964.20",688.20K,-2.00%
14-Apr-19,5134.80,"5,052.00","5,153.50","5,010.70",566.38K,1.64%
13-Apr-19,5051.80,"5,054.20","5,093.40","5,011.60",577.16K,-0.05%
12-Apr-19,5054.20,"5,022.70","5,080.50","4,889.20",779.14K,0.63%
11-Apr-19,5022.60,"5,307.70","5,337.00","4,948.00",943.49K,-5.37%
10-Apr-19,5307.80,"5,158.40","5,404.10","5,142.90",837.51K,2.89%
9-Apr-19,5158.40,"5,245.00","5,245.90","5,095.20",784.62K,-1.65%
8-Apr-19,5245.20,"5,173.50","5,300.60","5,060.50",928.23K,1.38%
7-Apr-19,5173.60,"5,046.10","5,219.50","5,033.70",841.27K,2.53%
6-Apr-19,5046.20,"5,010.00","5,198.40","4,947.90",952.18K,0.72%
5-Apr-19,5010.20,"4,902.50","5,029.40","4,888.30",851.72K,2.20%
4-Apr-19,4902.40,"4,968.70","5,042.50","4,789.20",1.05M,-1.33%
3-Apr-19,4968.70,"4,859.30","5,278.40","4,814.00",13.83M,2.25%
2-Apr-19,4859.30,"4,145.10","4,899.60","4,143.50",14.77M,17.23%
1-Apr-19,4145.10,"4,102.30","4,159.10","4,076.80",3.22M,1.04%
31-Mar-19,4102.30,"4,111.80","4,121.90","4,082.20",2.43M,-0.23%
30-Mar-19,4111.80,"4,103.70","4,138.10","4,057.10",2.55M,0.23%
29-Mar-19,4102.20,"4,025.70","4,123.10","4,022.60",3.30M,1.90%
28-Mar-19,4025.60,"4,041.70","4,041.70","4,008.40",2.11M,-0.40%
27-Mar-19,4041.70,"3,942.80","4,043.30","3,936.20",2.78M,2.51%
26-Mar-19,3942.80,"3,937.10","3,950.70","3,899.90",2.53M,0.15%
25-Mar-19,3937.00,"3,994.80","4,000.50","3,897.90",2.86M,-1.44%
24-Mar-19,3994.70,"4,002.60","4,005.70","3,967.00",2.04M,-0.20%
23-Mar-19,4002.50,"3,990.40","4,018.20","3,980.80",2.00M,0.30%
22-Mar-19,3990.40,"3,982.20","4,005.70","3,971.80",2.83M,0.21%
21-Mar-19,3982.20,"4,041.20","4,064.00","3,923.80",3.88M,-1.46%
20-Mar-19,4041.20,"4,017.00","4,050.00","3,985.30",3.18M,0.60%
19-Mar-19,4017.00,"3,990.20","4,029.90","3,972.40",2.99M,0.67%
18-Mar-19,3990.20,"3,981.50","4,032.30","3,958.50",2.62M,0.22%
17-Mar-19,3981.50,"4,006.40","4,009.80","3,956.30",1.87M,-0.62%
16-Mar-19,4006.40,"3,924.40","4,050.60","3,923.70",3.46M,2.09%
15-Mar-19,3924.30,"3,879.00","3,935.70","3,874.80",3.11M,1.17%
14-Mar-19,3879.00,"3,865.10","3,914.70","3,828.40",2.86M,0.36%
13-Mar-19,3865.10,"3,885.90","3,894.70","3,847.40",2.28M,-0.54%
12-Mar-19,3886.00,"3,870.30","3,900.10","3,817.10",2.90M,0.41%
11-Mar-19,3870.30,"3,915.20","3,935.50","3,842.40",3.19M,-1.15%
10-Mar-19,3915.20,"3,944.40","3,944.50","3,889.20",1.89M,-0.74%
9-Mar-19,3944.30,"3,865.60","3,964.00","3,859.70",2.48M,2.03%
8-Mar-19,3865.90,"3,875.10","3,929.00","3,810.70",2.96M,-0.24%
7-Mar-19,3875.10,"3,863.10","3,907.40","3,847.90",2.60M,0.32%
6-Mar-19,3863.00,"3,857.20","3,887.30","3,816.70",2.52M,0.15%
5-Mar-19,3857.20,"3,715.90","3,873.20","3,705.70",3.82M,3.80%
4-Mar-19,3715.90,"3,809.70","3,828.40","3,681.80",2.85M,-2.45%
3-Mar-19,3809.50,"3,823.20","3,836.60","3,789.70",1.51M,-0.36%
2-Mar-19,3823.10,"3,821.90","3,843.20","3,783.60",1.61M,0.03%
1-Mar-19,3821.90,"3,816.70","3,855.80","3,816.40",1.74M,0.14%
28-Feb-19,3816.60,"3,814.60","3,883.70","3,783.30",2.31M,0.05%
27-Feb-19,3814.60,"3,810.30","3,836.40","3,701.90",2.82M,0.11%
26-Feb-19,3810.30,"3,833.50","3,845.50","3,775.00",2.09M,-0.61%
25-Feb-19,3833.70,"3,755.70","3,870.70","3,753.80",765.87K,2.09%
24-Feb-19,3755.20,"4,120.50","4,194.20","3,738.70",977.78K,-8.86%
23-Feb-19,4120.40,"3,965.20","4,152.60","3,939.40",727.85K,3.91%
22-Feb-19,3965.20,"3,937.40","3,983.10","3,931.70",649.55K,0.73%
21-Feb-19,3936.60,"3,972.00","4,011.50","3,909.20",668.16K,-0.90%
20-Feb-19,3972.40,"3,914.30","3,983.60","3,881.20",698.01K,1.48%
19-Feb-19,3914.30,"3,896.40","3,993.80","3,863.70",1.44M,0.47%
18-Feb-19,3896.00,"3,664.20","3,903.70","3,655.10",933.15K,6.33%
17-Feb-19,3664.20,"3,616.80","3,689.90","3,607.90",580.51K,1.31%
16-Feb-19,3616.80,"3,604.70","3,641.90","3,599.70",485.63K,0.34%
15-Feb-19,3604.70,"3,592.60","3,648.30","3,581.40",516.21K,0.34%
14-Feb-19,3592.60,"3,611.50","3,624.50","3,580.20",498.14K,-0.52%
13-Feb-19,3611.50,"3,632.00","3,663.50","3,599.20",558.02K,-0.56%
12-Feb-19,3632.00,"3,631.80","3,656.40","3,594.40",545.82K,0.01%
11-Feb-19,3631.80,"3,678.80","3,681.10","3,623.80",517.28K,-1.28%
10-Feb-19,3679.00,"3,661.00","3,680.60","3,617.10",501.90K,0.48%
9-Feb-19,3661.40,"3,661.60","3,675.30","3,633.20",454.80K,-0.01%
8-Feb-19,3661.70,"3,397.30","3,721.10","3,382.50",699.23K,7.77%
7-Feb-19,3397.70,"3,404.90","3,421.80","3,390.30",471.36K,-0.20%
6-Feb-19,3404.30,"3,468.50","3,478.00","3,383.90",514.21K,-1.85%
5-Feb-19,3468.40,"3,463.00","3,485.90","3,450.30",460.95K,0.16%
4-Feb-19,3462.80,"3,459.00","3,479.70","3,437.10",503.92K,0.11%
3-Feb-19,3459.10,"3,502.30","3,507.80","3,431.30",451.66K,-1.24%
2-Feb-19,3502.50,"3,467.90","3,514.50","3,447.80",443.60K,1.00%
1-Feb-19,3467.90,"3,437.70","3,485.70","3,415.30",481.58K,0.90%
31-Jan-19,3437.20,"3,460.00","3,484.70","3,427.00",477.07K,-0.66%
30-Jan-19,3460.00,"3,414.60","3,479.00","3,394.20",600.25K,1.32%
29-Jan-19,3414.80,"3,442.80","3,450.10","3,368.20",585.46K,-0.81%
28-Jan-19,3442.80,"3,555.80","3,561.20","3,395.70",620.85K,-3.17%
27-Jan-19,3555.60,"3,570.90","3,583.20","3,509.20",464.02K,-0.43%
26-Jan-19,3570.90,"3,572.00","3,652.50","3,556.10",432.55K,-0.03%
25-Jan-19,3572.00,"3,574.30","3,582.60","3,542.20",448.89K,-0.06%
24-Jan-19,3574.30,"3,561.40","3,587.00","3,539.70",428.60K,0.36%
23-Jan-19,3561.50,"3,580.10","3,608.30","3,532.80",445.87K,-0.52%
22-Jan-19,3580.10,"3,536.90","3,607.90","3,465.20",447.70K,1.23%
21-Jan-19,3536.70,"3,542.70","3,561.40","3,505.40",394.17K,-0.16%
20-Jan-19,3542.30,"3,676.20","3,699.10","3,503.90",563.31K,-3.68%
19-Jan-19,3677.80,"3,605.80","3,715.20","3,604.10",537.06K,2.00%
18-Jan-19,3605.60,"3,626.30","3,627.90","3,575.70",488.16K,-0.57%
17-Jan-19,3626.40,"3,588.10","3,636.70","3,554.80",525.10K,1.07%
16-Jan-19,3588.00,"3,570.60","3,644.10","3,561.40",487.34K,0.47%
15-Jan-19,3571.30,"3,637.50","3,660.80","3,545.70",544.85K,-1.84%
14-Jan-19,3638.10,"3,490.40","3,672.00","3,490.40",539.93K,4.24%
13-Jan-19,3490.20,"3,597.30","3,617.60","3,473.20",452.79K,-2.98%
12-Jan-19,3597.20,"3,616.60","3,633.90","3,561.30",435.06K,-0.53%
11-Jan-19,3616.50,"3,603.30","3,655.70","3,563.10",551.64K,0.35%
10-Jan-19,3603.70,"3,978.90","4,007.70","3,562.10",697.31K,-9.41%
9-Jan-19,3978.00,"3,971.00","4,014.20","3,957.50",473.42K,0.17%
8-Jan-19,3971.00,"3,985.80","4,070.50","3,943.10",514.08K,-0.37%
7-Jan-19,3985.90,"4,004.30","4,028.00","3,945.50",500.88K,-0.45%
6-Jan-19,4004.10,"3,785.70","4,034.10","3,758.50",529.89K,5.78%
5-Jan-19,3785.40,"3,802.80","3,846.70","3,769.00",468.45K,-0.46%
4-Jan-19,3802.70,"3,780.50","3,823.90","3,720.00",488.70K,0.60%
3-Jan-19,3780.10,"3,874.10","3,875.80","3,753.00",450.32K,-2.42%
2-Jan-19,3873.80,"3,809.70","3,894.80","3,768.10",554.47K,1.69%
1-Jan-19,3809.40,"3,709.50","3,814.30","3,664.40",469.11K,2.69%
31-Dec-18,3709.40,"3,815.10","3,819.60","3,658.80",545.83K,-2.77%
30-Dec-18,3815.00,"3,708.20","3,837.70","3,682.50",519.17K,2.92%
29-Dec-18,3706.80,"3,861.60","3,899.60","3,696.00",505.41K,-4.01%
28-Dec-18,3861.60,"3,587.10","3,900.30","3,565.50",565.24K,7.66%
27-Dec-18,3586.90,"3,793.40","3,822.60","3,560.80",543.44K,-5.45%
26-Dec-18,3793.70,"3,762.80","3,841.90","3,680.30",567.11K,0.83%
25-Dec-18,3762.50,"4,025.60","4,030.70","3,676.50",670.94K,-6.55%
24-Dec-18,4026.10,"3,944.50","4,208.20","3,941.90",716.29K,2.07%
23-Dec-18,3944.40,"3,964.30","4,037.10","3,904.60",572.21K,-0.50%
22-Dec-18,3964.40,"3,850.90","3,977.20","3,803.70",554.59K,2.95%
21-Dec-18,3850.90,"4,075.20","4,153.10","3,786.90",748.76K,-5.52%
20-Dec-18,4076.00,"3,687.20","4,140.30","3,665.80",958.58K,10.55%
19-Dec-18,3687.10,"3,668.10","3,924.70","3,647.50",792.40K,0.52%
18-Dec-18,3668.00,"3,526.00","3,683.10","3,456.90",698.53K,4.02%
17-Dec-18,3526.10,"3,248.30","3,597.40","3,243.10",534.78K,8.57%
16-Dec-18,3247.90,"3,228.60","3,305.00","3,225.90",335.69K,0.60%
15-Dec-18,3228.70,"3,247.80","3,282.30","3,177.00",332.95K,-0.59%
14-Dec-18,3247.80,"3,315.40","3,336.60","3,199.10",445.56K,-2.04%
13-Dec-18,3315.30,"3,466.20","3,474.40","3,284.80",435.89K,-4.35%
12-Dec-18,3466.10,"3,390.20","3,510.20","3,379.40",391.17K,1.72%
11-Dec-18,3407.70,"3,460.40","3,485.90","3,349.90",418.53K,-1.53%
